user_id;rec_stories
3133152;[2724972, 1351933, 6327377, 8848598, 2741470]
3306332;[2741470, 2724972, 1351933, 6256924, 8108376]
3488110;[10506441, 10991501, 12058516, 6045275, 5062719]
3932749;[2905557, 10991501, 8257400, 6754695, 6045275]
4068301;[10991501, 10506441, 6029161, 9973394, 8257400]
4096536;[2905557, 9973394, 4230389, 2724972, 4819806]
4368910;[10991501, 6029161, 4230389, 6892925, 10399961]
102390;[10991501, 4230389, 2724972, 5358187, 12058516]
426638;[11825585, 9750991, 10506441, 6029161, 6045275]
442836;[2724972, 6029161, 6045275, 8257400, 5956421]
56285;[5358187, 6045275, 6029161, 2905557, 2290003]
4561926;[6045275, 8257400, 10991501, 9040382, 10399961]
4605054;[10991501, 10506441, 7502401, 12058516, 4230389]
4612655;[5453054, 7724057, 7093738, 6892925, 3157478]
4653789;[3401052, 10991501, 4230389, 10506441, 4302068]
4660561;[2905557, 9973394, 8232212, 10506441, 6045275]
4724487;[8232212, 5222490, 9750991, 6029161, 10506441]
5916873;[10991501, 6892925, 8823783, 9040382, 6045275]
6182956;[10506441, 8232212, 11825585, 9486886, 9973394]
6365094;[10506441, 5062719, 11825585, 9750991, 3693052]
7267483;[3157478, 5453054, 12058516, 11360264, 6458809]
7306498;[6045275, 5358187, 2905557, 10506441, 6147206]
7788785;[6045275, 5062719, 9855330, 6458809, 8257400]
529727;[10506441, 6045275, 12058516, 5062719, 9855330]
697940;[6045275, 6797418, 12058516, 10506441, 5358187]
797895;[2905557, 10991501, 6045275, 6754695, 8257400]
829916;[6029161, 2905557, 6045275, 5358187, 2741470]
848498;[11041506, 5806017, 6307582, 6045275, 7554120]
874735;[6045275, 5062719, 12058516, 10399961, 5358187]
910268;[2905557, 6045275, 6754695, 10010184, 4230389]
1010739;[2905557, 6045275, 8257400, 6147206, 2724972]
1039324;[6045275, 4230389, 2905557, 10991501, 5358187]
1169362;[6045275, 2905557, 2724972, 8257400, 5358187]
1175945;[10506441, 10991501, 5062719, 10399961, 12058516]
1254630;[2690076, 5664828, 4032223, 6797418, 2724972]
1257997;[2690076, 2128143, 4032223, 6458809, 2724972]
1277221;[2107570, 10937871, 3157478, 9855330, 2318355]
1282663;[2724972, 6045275, 7724057, 8337400, 1391080]
1364352;[12058516, 6045275, 6797418, 6463116, 9855330]
1364430;[2724972, 7554120, 7724057, 8337400, 6892925]
1441618;[6797418, 8337400, 4752834, 7724057, 7554120]
1467906;[2724972, 6029161, 6253744, 6458809, 6045275]
1521734;[6029161, 2724972, 5358187, 6045275, 12058516]
1547857;[2318355, 9855330, 6458809, 7724057, 3157478]
1652534;[4668040, 9855330, 8337400, 2690076, 6045275]
1710653;[7502401, 2724972, 9788639, 2690076, 8823783]
1726366;[7724057, 2724972, 2690076, 6458809, 6045275]
1777701;[3157478, 2318355, 6797418, 8337400, 2690076]
1793757;[2724972, 6029161, 6045275, 9788639, 6797418]
1804286;[6029161, 2724972, 8257400, 10991501, 7502401]
1921648;[10991501, 8257400, 10399961, 6754695, 6045275]
2050756;[9750991, 10506441, 8232212, 5062719, 2905557]
2131527;[10991501, 6045275, 12058516, 10506441, 8257400]
2142391;[10991501, 2724972, 6045275, 12058516, 4230389]
2191537;[10506441, 11825585, 6045275, 3693052, 6458809]
2207088;[10506441, 6045275, 12058516, 8232212, 6458809]
2208534;[10399961, 8257400, 10991501, 2905557, 2724972]
2213599;[2905557, 8232212, 6045275, 8257400, 9973394]
2349486;[2724972, 2741470, 2905557, 6045275, 8257400]
2392816;[2905557, 9973394, 4230389, 2724972, 4819806]
2407005;[10991501, 12058516, 10506441, 6029161, 6045275]
2412082;[6045275, 10506441, 6458809, 12058516, 10991501]
2513926;[12058516, 10991501, 8257400, 5062719, 5453054]
2554976;[2905557, 6045275, 6754695, 10991501, 5358187]
2610270;[2905557, 6045275, 6029161, 8257400, 10991501]
2619159;[6045275, 2905557, 5358187, 6754695, 5062719]
2798539;[10506441, 2905557, 6045275, 6256924, 6754695]
3306332;[6045275, 12058516, 6458809, 10991501, 8823783]
3510103;[5358187, 6045275, 4230389, 2724972, 10991501]
4407605;[2724972, 8257400, 6029161, 8232212, 6045275]
181587;[6045275, 10991501, 12058516, 10399961, 10506441]
309587;[6045275, 9750991, 5062719, 2724972, 6458809]
4724487;[10991501, 6045275, 8257400, 9040382, 11916243]
4741780;[6045275, 6458809, 9855330, 6797418, 12058516]
1726366;[2724972, 6045275, 4230389, 5358187, 2905557]
2120788;[554557, 6892925, 8257400, 10991501, 2620851]
2490778;[10991501, 3401052, 10506441, 979216, 12058516]
3133152;[6045275, 10506441, 2905557, 10991501, 6029161]
4114697;[2905557, 6045275, 5358187, 10991501, 4230389]
309587;[3401052, 10991501, 4230389, 7161848, 4302068]
456647;[10506441, 8232212, 6045275, 12058516, 6029161]
4502738;[6045275, 8257400, 5358187, 10991501, 2905557]
4605054;[10506441, 12058516, 5062719, 10991501, 9750991]
4660561;[2905557, 8257400, 6045275, 6029161, 5358187]
4724487;[10506441, 10991501, 12058516, 6045275, 8823783]
4735988;[8257400, 2905557, 6045275, 2724972, 9973394]
4741780;[10991501, 2905557, 6045275, 10399961, 4230389]
4848800;[10991501, 6754695, 4230389, 12058516, 10645463]
5208280;[6029161, 2905557, 8257400, 10991501, 6045275]
8305905;[10991501, 6754695, 10506441, 6045275, 4230389]
848498;[10991501, 12058516, 10399961, 6754695, 4302068]
1400419;[8848598, 5662941, 7554120, 5153711, 2620851]
1726366;[5062719, 10991501, 12058516, 6045275, 6754695]
1885305;[2724972, 7502401, 6029161, 10991501, 6045275]
1963839;[6045275, 2724972, 6458809, 2128143, 4118383]
2513926;[10399961, 8823783, 10991501, 6754695, 10096096]
3706712;[10991501, 10506441, 6045275, 12058516, 6754695]
4050171;[10991501, 10506441, 6754695, 4230389, 12058516]
4068301;[2905557, 10506441, 10991501, 8257400, 6147206]
456647;[10991501, 7502401, 10506441, 4230389, 6045275]
6345170;[6045275, 4765157, 7502401, 2724972, 8509020]
6717323;[8257400, 2905557, 6029161, 6045275, 8232212]
1965500;[6045275, 5358187, 7554120, 2216741, 4639011]
3835875;[8257400, 2905557, 6045275, 7565325, 8745066]
456647;[10506441, 2905557, 6045275, 11825585, 10010184]
